d,t1,t2,s1,s2,win1,win2
2025-06-10,England,Senegal,1,3,False,True
2025-06-10,Mexico,Turkey,1,0,True,False
2025-06-10,Sweden,Algeria,4,3,True,False
2025-06-10,United States,Switzerland,0,4,False,True
2025-06-10,Argentina,Colombia,1,1,False,False
2025-06-10,Brazil,Paraguay,1,0,True,False
2025-06-10,Uzbekistan,Qatar,3,0,True,False
2025-06-10,Jordan,Iraq,0,1,False,True
2025-06-10,Saudi Arabia,Australia,1,2,False,True
2025-06-10,Canada,Ivory Coast,0,0,False,False
2025-06-10,Haiti,Curaçao,1,5,False,True
2025-06-15,Haiti,Saudi Arabia,0,1,False,True
2025-06-19,United States,Saudi Arabia,1,0,True,False
2025-06-21,Curaçao,Canada,1,1,False,False
2025-06-22,United States,Haiti,2,1,True,False
2025-06-28,Mexico,Saudi Arabia,2,0,True,False
2025-07-06,United States,Mexico,1,2,False,True
2025-09-04,Paraguay,Ecuador,0,0,False,False
2025-09-05,Australia,New Zealand,1,0,True,False
2025-09-06,Mexico,Japan,0,0,False,False
2025-09-06,United States,South Korea,0,2,False,True
2025-09-07,Turkey,Spain,0,6,False,True
2025-09-08,Czech Republic,Saudi Arabia,1,1,False,False
2025-09-09,Mexico,South Korea,2,2,False,False
2025-09-09,New Zealand,Australia,1,3,False,True
2025-09-09,United States,Japan,2,0,True,False
2025-09-09,Ecuador,Argentina,1,0,True,False
2025-09-09,DR Congo,Senegal,2,3,False,True
2025-09-09,Bosnia and Herzegovina,Austria,1,2,False,True
2025-10-09,Czech Republic,Croatia,0,0,False,False
2025-10-10,Canada,Australia,0,1,False,True
2025-10-10,Japan,Paraguay,2,2,False,False
2025-10-10,South Korea,Brazil,0,5,False,True
2025-10-10,United States,Ecuador,1,1,False,False
2025-10-10,Sweden,Switzerland,0,2,False,True
2025-10-11,Mexico,Colombia,0,4,False,True
2025-10-13,Uzbekistan,Uruguay,1,2,False,True
2025-10-14,Japan,Brazil,3,2,True,False
2025-10-14,Canada,Colombia,0,0,False,False
2025-10-14,South Korea,Paraguay,2,0,True,False
2025-10-14,Mexico,Ecuador,1,1,False,False
2025-10-14,Norway,New Zealand,1,1,False,False
2025-10-14,United States,Australia,2,1,True,False
2025-10-14,Saudi Arabia,Iraq,0,0,False,False
2025-11-13,Canada,Ecuador,0,0,False,False
2025-11-13,Iran,Cape Verde,0,0,False,False
2025-11-14,Japan,Ghana,2,0,True,False
2025-11-14,Saudi Arabia,Ivory Coast,1,0,True,False
2025-11-14,Tunisia,Jordan,3,2,True,False
2025-11-14,Uzbekistan,Egypt,2,0,True,False
2025-11-15,Brazil,Senegal,2,0,True,False
2025-11-15,Colombia,New Zealand,2,1,True,False
